OBJECTID,DuuID,Meta_ProcessID,ProcessDescription,ProcessDate,AttributeAccuracyreport,LogicalConsistencyReport,CompletenessReport,HorizPositionalAccuracyReport,VertPositionalAccuracyReport,MetadataStandardName,MetadataStandardVersion,MetadataDate,DataSetCredit,ContactOrganization,AddressType,Address,City,StateOrProvince,PostalCode,ContactVoiceTelephone,ContactInstructions,ContactEmailAddress
1,2,2,Replaced branched and disjoint (disconnected) reaches with linear reaches in NHDFlowline.  This change occurred during the conversion to the geodatabase model.  Each NHDFlowline that was part of a branched or disjoint reach was assigned to a new reach.  The ComID of the NHDFlowline was unchanged   The change information from the old reach to the new reach was captured in the NHDReachCrossReference table.  Each new reach has M values assigned from 0 to 100.,4/1/2004,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,3,3,"Merged and/or split area features (NHDWaterbody, NHDArea, region.wb, region.lm) and updated associated artificial path WBAreaComID (wb_com_id) values.  This change occurred during the conversion to the geodatabase model.  If adjacent or overlapping area features had identical classifications, including ReachCode where applicable, the features were merged.  If an area feature exceeded 100 sq. km. (25 sq. km. for canal/ditch, stream/river, or submerged stream) and crossed a subbasin boundary, the feature was split at the subbasin boundary.  If any sliver polygons of a size of less than 5 sq. km. adjoined the split features, the slivers were merged back into the larger area feature.  Merged or split area features were assigned a new ComID.  ",4/1/2004,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,4,4,Updated WBAreaComID (WB_COM_ID) on NHDFlowline (route.drain) where the associated area features were assigned new ComIDs from merge or split during the conversion to geodatabase.,4/1/2004,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,5,5,"Merged identically classified NHDFlowline features where they joined at grade at a vertical relationship.  This change occurred during the conversion to the geodatabase model.  The purpose of the change was to support compatibility with the geometric network trace capabilities in ArcMap for trace through vertically offset features, not between the features.",4/1/2004,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,6,6,"Edited NHDFlowline (route.drain) features to improve network connectivity and network flow.  This edit occurred during the conversion to the geodatabase model.  Features we snapped, spatially modified, flipped, added, or deleted to assure network integrity.  Also, some feature classification modifications occurred to convert artificial paths to coastlines.",4/12/2004 3:50:40 PM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,12469,12469," Create high-resolution NHD from revised CDOW data.  This  process started with CDOW 1:24,000-scale hydrography files. CDOW datasets were converted to DLG-3 files using a custom converter supplied by Bill Kaiser 916-379-3736.  DLG files were then converted to NHD datasets using the 3-to-F process. These files were then edited to remove any conversion errors.  Once all of the Hi-resolution datasets were generated then a  Hi-resolution CU was created using one of two paths.  The first path loaded all of the quad NHD datasets into the FOD and then unloaded a Hi-resolution CU dataset. The second path used FTI to generate the Hi-resolution CU by combining the quad based datasets into a single CU dataset. During this combination any of the 1-D features with the same feature type were snapped  together using a user specified tolerance. After combining the datasets, all of the features that fall outside the 100K HUC boundary were removed. At this point any additional connectors were added to the data. After the Hi-resolution CU was generated, if was conflated to  the appropriate 100K CU. Prior to the actual conflation all of  the Hi-resolution are directions where modified to be directed downstream. Next conflation was performed to conflate reach codes  and associated flow relationships from the 100K NHD data to the  Hi-Resoultion dataset. After the conflation process, editing was performed to correct any conflation errors. At this point new network and 2-D waterbody reaches and associated flow were added  to the dataset. Appropriate stream levels and flow sequences were then applied.       Additional Geographic Names were applied using the appropriate Geographic Names Information System (GNIS) source coverages.   ",2/14/2002," For DLG-3 data, the accuracy of the attributes  is estimated to be 98.5 percent. One or more of the  following methods were used to test attribute accuracy:  manual comparison of the source with hardcopy plots;  symbolized display of the digital line graph on an  interactive computer graphic system; selected attributes  that could not be visually verified on plots or on screen  were interactively queried and verified on screen. In  addition, software validated feature types and  characteristics against a master set of types and  characteristics,checked that combinations of types and  characteristics were valid, and that types and  characteristics were valid for the delineation of the  feature. Feature types, characteristics, and other  attributes conform to the Standards for National  Hydrography Dataset - High Resolution (USGS, 1999) as of  the date they were loaded into the database. All names  on the 1:24,000-scale reaches were validated against a  April 1999 extract from the Geographic Names Information  System. The entry and identifier for the names match those  in the Geographic Names Information System. The association  of each name to reaches has been interactively checked  against the April 1999 Geographic Names Information System  names extract, however, operator error could in some cases  apply a name to a wrong reach.  
 For CDOW data, the attribute accuracy is unknown. "," Points, nodes, lines, and areas conform to topological rules.   Lines intersect only at nodes, and all nodes anchor the ends  of lines.  Lines do not overshoot or undershoot other lines  where they are supposed to meet. There are no duplicate lines.  Lines bound areas and lines identify the areas to the left and  right of the lines.  Gaps and overlaps among areas do not  exist.  All areas close."," For DLG-3 data, the completeness of the data reflects the published map.  Features found on the ground may have been  eliminated or generalized on the source graphic because of  scale and legibility constraints. In general, streams longer  than one mile (approximately 1.6 kilometers) were collected.  Most streams that flow from a lake were collected regardless  of their length. Only definite channels were collected so  not all swamp/marsh features have stream/rivers delineated  through them.  Lake/ponds 100 feet or greater in the shortest  axis were collected.  Note, however, that these general rules  were applied unevenly among maps during compilation. Transport reaches are defined on nearly all features of type stream/river, canal/ditch, artificial path, and connector. Detailed capture   conditions are provided for every feature type in the Standards  for National Hydrography Dataset - High Resolution (USGS, 1999), available online through http://mapping.usgs.gov/standards/.
 Completeness of CDOW data is unknown.
"," For DLG-3 data, statements of horizontal positional accuracy are based on  accuracy statements made for U.S. Geological Survey topographic  quadrangle maps. These maps were compiled to meet National Map  Accuracy Standards. For horizontal accuracy, this standard is  met if at least 90 percent of points tested are within 0.02  inch (at map scale) of the true position.  Additional offsets  to positions may have been introduced where feature density is  high to improve the legibility of map symbols.In addition, the  digitizing of maps is estimated to contain a horizontal  positional error of less than or equal to 0.003 inch standard  error(at map scale) in the two component directions relative  to the source maps.  Visual comparison between the map graphic  (including digital scans of the graphic) and plots or digital  displays of points, lines, and areas, is used as control to  assess the positional accuracy of digital data. Digital map  elements along the adjoining edges of data sets are aligned if  they are within a 0.02 inch tolerance (at map scale). Features  with like dimensionality (for example, features that all are  delineated with lines), with or without like characteristics,  that are within the tolerance are aligned by moving the  features equally to a common point. Features outside the  tolerance are not moved; instead, a feature of type connector  is added to join the features. The horizontal positional accuracy of the CDOW data is unknown."," For DLG-3 data, statements of vertical positional accuracy for elevation of  water surfaces are  based on accuracy statements made for  U.S. Geological Survey topographicquadrangle maps.  These  maps were compiled to meet National Map Accuracy Standards.   For vertical accuracy, this standard is met if at least 90  percent of well-defined points tested are within one-half  contour interval of the correct value.  Elevations of water  surface printed on the published map meet this standard;  the contour intervals of the maps vary. These elevations  were transcribed into the digital data; the accuracy of  this transcription was checked by visual comparison between  the data and the map.  Vertical Positional Accuracy of CDOW data is unknown.",FGDC Content Standards For Digital Geospatial Metadata,19940608,1/4/2002," U.S. Geological Survey in cooperation with U. S. Environmental Protection Agency and Colorado Department of Wildlife (CDOW).
",U.S. Geological Survey,Mailing and Physical , U.S. Geological Survey Rocky Mountain Mapping Center P.O. Box 25046,Denver,Colorado,80225-0046,(303) 202-4526,Monday-Friday 7AM-3PM MST,None
